time	leftRight	frontBack	up	angular	State	Battery_level	Magnetometer_x	Magnetometer_y	Magnetometer_z	Pressure	Temperature	Wind_speed	Wind_angle	Wind_compensation:pitch	Wind_compensation:roll	Pitch_y	Roll_x	Yaw_z	Altitude	Velocity_x	Velocity_y	Velocity_z	Acceleration_x	Acceleration_y	Acceleration_z	Motor_1_power	Motor_2_power	Motor_3_power	Motor_4_power	time_board	_merge
1970-01-01 00:00:03.250	0.0	-0.25	0.0	0.0	3	83	-73	-27	-87	98478	530	0.03468913212418556	-57.85363006591797	0.0	0.0	-10686.0	-31.0	-99371.0	678	471.87725830078125	-17.384933471679688	0.0	2092.0	2000.0	2576.0	184	181	187	191	1524787106018	both
1970-01-01 00:00:03.284	0.0	-0.25	0.0	0.0	3	83	-68	-26	-88	98495	530	0.03540155291557312	-59.1797103881836	0.0	0.0	-10707.0	-51.0	-99375.0	679	527.78466796875	-17.280105590820312	0.0	1988.0	2004.0	2588.0	184	178	189	192	1524804141174	both
1970-01-01 00:00:03.349	0.0	-0.25	0.0	0.0	3	83	-71	-31	-85	98480	530	0.03481674939393997	-58.51649856567383	0.0	0.0	-10454.0	-174.0	-99387.0	683	602.8831176757812	-16.921104431152347	0.0	1988.0	2052.0	2600.0	182	175	190	193	1524836206207	both
1970-01-01 00:00:03.379	0.0	-0.25	0.0	0.0	3	83	-77	-29	-87	98501	530	0.03527090698480606	-58.89051818847656	0.0	0.0	-10274.0	-187.0	-99398.0	687	632.234130859375	-14.89914321899414	0.0	2008.0	2024.0	2592.0	181	174	189	192	1524851236328	both
1970-01-01 00:00:03.445	0.0	-0.25	0.0	0.0	3	83	-68	-30	-86	98501	530	0.035923004150390625	-59.783103942871094	0.0	0.0	-9948.0	-268.0	-99370.0	692	714.4966430664062	-17.99380874633789	0.0	2012.0	2060.0	2588.0	180	171	190	192	1524883301727	both
1970-01-01 00:00:03.479	0.0	-0.25	0.0	0.0	3	83	-71	-31	-87	98475	530	0.03633049502968788	-59.90095901489258	0.0	0.0	-9788.0	-352.0	-99381.0	695	757.5747680664062	-17.234125137329098	0.0	1960.0	2056.0	2568.0	179	170	189	193	1524900336517	both
1970-01-01 00:00:03.510	0.0	-0.25	0.0	0.0	3	83	-72	-26	-86	98483	530	0.03577543422579765	-59.7413558959961	0.0	0.0	-9556.0	-361.0	-99413.0	698	777.0474243164062	-19.43272590637207	0.0	1996.0	2064.0	2576.0	174	171	189	196	1524915366729	both
1970-01-01 00:00:03.540	0.0	-0.25	0.0	0.0	3	83	-70	-32	-88	98486	530	0.03573143482208252	-58.8965835571289	0.0	0.0	-9380.0	-344.0	-99431.0	702	800.0123291015625	-18.59171485900879	0.0	2052.0	2076.0	2576.0	175	171	188	194	1524929396728	both
1970-01-01 00:00:03.574	0.0	-0.25	0.0	0.0	3	83	-69	-31	-83	98460	530	0.035663750022649765	-58.50697708129883	0.0	0.0	-9266.0	-317.0	-99421.0	703	819.98828125	-17.635190963745114	0.0	2100.0	2080.0	2564.0	177	170	189	193	1524944426971	both
1970-01-01 00:00:03.670	0.0	-0.25	0.0	0.0	3	83	-75	-29	-93	98478	530	0.03694724291563034	-59.85598754882813	0.0	0.0	-8682.0	-280.0	-99330.0	711	932.0220947265624	-16.01668930053711	0.0	2044.0	2064.0	2560.0	175	166	192	193	1524993527221	both
1970-01-01 00:00:03.736	0.0	-0.25	0.0	0.0	3	83	-76	-32	-90	98501	530	0.038288354873657234	-65.013916015625	0.0	0.0	-8407.0	-67.0	-99295.0	716	1022.2071533203124	-41.66558837890625	0.0	2080.0	2092.0	2572.0	174	166	196	190	1525025592437	both
1970-01-01 00:00:03.771	0.0	-0.25	0.0	0.0	3	83	-70	-32	-88	98486	530	0.03861238062381744	-64.98909759521484	0.0	0.0	-8398.0	73.0	-99276.0	718	1074.272216796875	-44.123634338378906	0.0	2024.0	2076.0	2560.0	175	166	194	190	1525042627655	both
1970-01-01 00:00:03.871	0.0	-0.25	0.0	0.0	3	83	-77	-29	-85	98492	530	0.03972737491130829	-66.10505676269531	0.0	0.0	-8850.0	413.0	-99417.0	726	1169.0189208984375	-40.728477478027344	0.0	2016.0	2040.0	2584.0	173	171	189	192	1525091727661	both
