	leftRight	frontBack	up	angular	State	Battery_level	Magnetometer_x	Magnetometer_y	Magnetometer_z	Pressure	Temperature	Wind_speed	Wind_angle	Wind_compensation:pitch	Wind_compensation:roll	Pitch_y	Roll_x	Yaw_z	Altitude	Velocity_x	Velocity_y	Velocity_z	Acceleration_x	Acceleration_y	Acceleration_z	Motor_1_power	Motor_2_power	Motor_3_power	Motor_4_power	time_board	_merge
1970-01-01 00:00:15.400																															both
1970-01-01 00:00:15.450																															both
1970-01-01 00:00:15.500																															both
1970-01-01 00:00:15.550																															both
1970-01-01 00:00:15.600																															both
1970-01-01 00:00:15.650																															both
1970-01-01 00:00:15.700																															both
1970-01-01 00:00:15.750																															both
1970-01-01 00:00:15.800																															both
1970-01-01 00:00:15.850																															both
1970-01-01 00:00:15.900																															both
1970-01-01 00:00:15.950																															both
1970-01-01 00:00:16.000																															both
1970-01-01 00:00:16.050																															both
1970-01-01 00:00:16.100																															both
1970-01-01 00:00:16.150																															both
1970-01-01 00:00:16.200																															both
1970-01-01 00:00:16.250																															both
1970-01-01 00:00:16.300																															both
1970-01-01 00:00:16.350																															both
1970-01-01 00:00:16.400																															both
1970-01-01 00:00:16.450																															both
1970-01-01 00:00:16.500																															both
1970-01-01 00:00:16.550																															both
1970-01-01 00:00:16.600																															both
1970-01-01 00:00:16.650																															both
1970-01-01 00:00:16.700																															both
1970-01-01 00:00:16.750																															both
1970-01-01 00:00:16.800																															both
1970-01-01 00:00:16.850																															both
1970-01-01 00:00:16.900																															both
1970-01-01 00:00:16.950																															both
1970-01-01 00:00:17.000																															both
1970-01-01 00:00:17.050																															both
1970-01-01 00:00:17.100																															both
1970-01-01 00:00:17.150																															both
1970-01-01 00:00:17.200																															both
1970-01-01 00:00:17.250																															both
1970-01-01 00:00:17.300																															both
1970-01-01 00:00:17.350																															both
1970-01-01 00:00:17.400																															both
1970-01-01 00:00:17.450																															both
1970-01-01 00:00:17.500																															both
1970-01-01 00:00:17.550																															both
1970-01-01 00:00:17.600																															both
1970-01-01 00:00:17.650																															both
1970-01-01 00:00:17.700																															both
1970-01-01 00:00:17.750																															both
1970-01-01 00:00:17.800																															both
1970-01-01 00:00:17.850																															both
1970-01-01 00:00:17.900																															both
1970-01-01 00:00:17.950																															both
1970-01-01 00:00:18.000																															both
1970-01-01 00:00:18.050																															both
1970-01-01 00:00:18.100																															both
1970-01-01 00:00:18.150																															both
1970-01-01 00:00:18.200																															both
1970-01-01 00:00:18.250																															both
1970-01-01 00:00:18.300																															both
1970-01-01 00:00:18.350																															both
1970-01-01 00:00:18.400																															both
1970-01-01 00:00:18.450																															both
1970-01-01 00:00:18.500																															both
1970-01-01 00:00:18.550																															both
1970-01-01 00:00:18.600																															both
1970-01-01 00:00:18.650																															both
1970-01-01 00:00:18.700																															both
1970-01-01 00:00:18.750																															both
1970-01-01 00:00:18.800																															both
1970-01-01 00:00:18.850																															both
1970-01-01 00:00:18.900																															both
1970-01-01 00:00:18.950																															both
1970-01-01 00:00:19.000																															both
1970-01-01 00:00:19.050																															both
1970-01-01 00:00:19.100																															both
1970-01-01 00:00:19.150																															both
1970-01-01 00:00:19.200																															both
1970-01-01 00:00:19.250																															both
1970-01-01 00:00:19.300																															both
1970-01-01 00:00:19.350																															both
1970-01-01 00:00:19.400																															both
1970-01-01 00:00:19.450																															both
1970-01-01 00:00:19.500																															both
1970-01-01 00:00:19.550																															both
1970-01-01 00:00:19.600																															both
1970-01-01 00:00:19.650																															both
1970-01-01 00:00:19.700																															both
1970-01-01 00:00:19.750																															both
1970-01-01 00:00:19.800																															both
1970-01-01 00:00:19.850																															both
1970-01-01 00:00:19.900																															both
1970-01-01 00:00:19.950																															both
1970-01-01 00:00:20.000																															both
1970-01-01 00:00:20.050																															both
1970-01-01 00:00:20.100																															both
1970-01-01 00:00:20.150																															both
1970-01-01 00:00:20.200																															both
1970-01-01 00:00:20.250																															both
1970-01-01 00:00:20.300																															both
1970-01-01 00:00:20.350																															both
1970-01-01 00:00:20.400																															both
1970-01-01 00:00:20.450																															both
1970-01-01 00:00:20.500																															both
1970-01-01 00:00:20.550																															both
1970-01-01 00:00:20.600																															both
1970-01-01 00:00:20.650																															both
1970-01-01 00:00:20.700																															both
1970-01-01 00:00:20.750																															both
1970-01-01 00:00:20.800																															both
1970-01-01 00:00:20.850																															both
1970-01-01 00:00:20.900																															both
1970-01-01 00:00:20.950																															both
1970-01-01 00:00:21.000																															both
1970-01-01 00:00:21.050																															both
1970-01-01 00:00:21.100																															both
1970-01-01 00:00:21.150																															both
1970-01-01 00:00:21.200																															both
1970-01-01 00:00:21.250																															both
1970-01-01 00:00:21.300																															both
1970-01-01 00:00:21.350																															both
1970-01-01 00:00:21.400																															both
1970-01-01 00:00:21.450																															both
1970-01-01 00:00:21.500																															both
1970-01-01 00:00:21.550																															both
1970-01-01 00:00:21.600																															both
1970-01-01 00:00:21.650																															both
1970-01-01 00:00:21.700																															both
1970-01-01 00:00:21.750																															both
1970-01-01 00:00:21.800																															both
1970-01-01 00:00:21.850																															both
1970-01-01 00:00:21.900																															both
1970-01-01 00:00:21.950																															both
1970-01-01 00:00:22.000																															both
1970-01-01 00:00:22.050																															both
1970-01-01 00:00:22.100																															both
1970-01-01 00:00:22.150																															both
1970-01-01 00:00:22.200																															both
1970-01-01 00:00:22.250																															both
1970-01-01 00:00:22.300																															both
1970-01-01 00:00:22.350																															both
1970-01-01 00:00:22.400																															both
1970-01-01 00:00:22.450																															both
1970-01-01 00:00:22.500																															both
1970-01-01 00:00:22.550																															both
1970-01-01 00:00:22.600																															both
1970-01-01 00:00:22.650																															both
1970-01-01 00:00:22.700																															both
1970-01-01 00:00:22.750																															both
1970-01-01 00:00:22.800																															both
1970-01-01 00:00:22.850																															both
1970-01-01 00:00:22.900																															both
1970-01-01 00:00:22.950																															both
1970-01-01 00:00:23.000																															both
1970-01-01 00:00:23.050																															both
1970-01-01 00:00:23.100																															both
1970-01-01 00:00:23.150																															both
1970-01-01 00:00:23.200																															both
1970-01-01 00:00:23.250																															both
1970-01-01 00:00:23.300																															both
1970-01-01 00:00:23.350																															both
1970-01-01 00:00:23.400																															both
1970-01-01 00:00:23.450																															both
1970-01-01 00:00:23.500																															both
1970-01-01 00:00:23.550																															both
1970-01-01 00:00:23.600																															both
1970-01-01 00:00:23.650																															both
1970-01-01 00:00:23.700																															both
1970-01-01 00:00:23.750																															both
1970-01-01 00:00:23.800																															both
1970-01-01 00:00:23.850																															both
1970-01-01 00:00:23.900																															both
1970-01-01 00:00:23.950																															both
1970-01-01 00:00:24.000																															both
1970-01-01 00:00:24.050																															both
1970-01-01 00:00:24.100																															both
1970-01-01 00:00:24.150																															both
1970-01-01 00:00:24.200																															both
1970-01-01 00:00:24.250																															both
1970-01-01 00:00:24.300																															both
1970-01-01 00:00:24.350																															both
1970-01-01 00:00:24.400																															both
1970-01-01 00:00:24.450	0.0	-0.25	0.0	0.0	3.0	77.0	-66.0	-22.0	-96.0	98481.0	526.0	0.15492430329322815	-69.37046813964844	0.0	0.0	-9861.0	59.0	-99528.0	751.0	712.2415161132812	24.44548797607422	0.0	1980.0	2076.0	2584.0	176.0	170.0	187.0	191.0	1546388303710.0	both
1970-01-01 00:00:24.500																															both
1970-01-01 00:00:24.550																															both
1970-01-01 00:00:24.600																															both
1970-01-01 00:00:24.650																															both
1970-01-01 00:00:24.700																															both
1970-01-01 00:00:24.750																															both
1970-01-01 00:00:24.800																															both
1970-01-01 00:00:24.850																															both
1970-01-01 00:00:24.900	0.0	-0.25	0.0	0.0	3.0	77.0	-62.0	-24.0	-86.0	98487.0	526.0	0.1511758118867874	-68.07099914550781	0.0	0.0	-8702.0	-294.0	-99392.0	764.0	1087.8453369140623	25.3173885345459	0.0	2020.0	2036.0	2584.0	178.0	162.0	189.0	190.0	1546608754760.0	both
1970-01-01 00:00:24.950																															both
1970-01-01 00:00:25.000																															both
1970-01-01 00:00:25.050																															both
1970-01-01 00:00:25.100																															both
1970-01-01 00:00:25.150																															both
1970-01-01 00:00:25.200																															both
1970-01-01 00:00:25.250																															both
1970-01-01 00:00:25.300																															both
1970-01-01 00:00:25.350																															both
1970-01-01 00:00:25.400																															both
1970-01-01 00:00:25.450																															both
1970-01-01 00:00:25.500																															both
1970-01-01 00:00:25.550																															both
1970-01-01 00:00:25.600																															both
1970-01-01 00:00:25.650																															both
1970-01-01 00:00:25.700																															both
1970-01-01 00:00:25.750																															both
1970-01-01 00:00:25.800																															both
1970-01-01 00:00:25.850																															both
1970-01-01 00:00:25.900																															both
1970-01-01 00:00:25.950																															both
1970-01-01 00:00:26.000																															both
1970-01-01 00:00:26.050																															both
1970-01-01 00:00:26.100																															both
1970-01-01 00:00:26.150																															both
1970-01-01 00:00:26.200																															both
1970-01-01 00:00:26.250																															both
1970-01-01 00:00:26.300																															both
1970-01-01 00:00:26.350																															both
1970-01-01 00:00:26.400																															both
1970-01-01 00:00:26.450																															both
1970-01-01 00:00:26.500																															both
1970-01-01 00:00:26.550																															both
1970-01-01 00:00:26.600																															both
1970-01-01 00:00:26.650																															both
1970-01-01 00:00:26.700																															both
1970-01-01 00:00:26.750																															both
1970-01-01 00:00:26.800	0.0	0.25	0.0	0.0	3.0	77.0	-69.0	25.0	-91.0	98481.0	526.0	0.11415571719408035	-65.55233001708984	0.0	0.0	6028.0	-640.0	-99558.0	745.0	-44.38789749145508	-51.43447494506836	0.0	2064.0	2000.0	2584.0	180.0	170.0	183.0	189.0	1548608655609.0	both
1970-01-01 00:00:26.850																															both
1970-01-01 00:00:26.900																															both
1970-01-01 00:00:26.950																															both
1970-01-01 00:00:27.000																															both
1970-01-01 00:00:27.050																															both
1970-01-01 00:00:27.100																															both
1970-01-01 00:00:27.150																															both
1970-01-01 00:00:27.200																															both
1970-01-01 00:00:27.250																															both
1970-01-01 00:00:27.300																															both
1970-01-01 00:00:27.350																															both
1970-01-01 00:00:27.400																															both
1970-01-01 00:00:27.450																															both
1970-01-01 00:00:27.500																															both
1970-01-01 00:00:27.550																															both
1970-01-01 00:00:27.600																															both
1970-01-01 00:00:27.650																															both
1970-01-01 00:00:27.700																															both
1970-01-01 00:00:27.750																															both
1970-01-01 00:00:27.800																															both
1970-01-01 00:00:27.850																															both
1970-01-01 00:00:27.900																															both
1970-01-01 00:00:27.950																															both
1970-01-01 00:00:28.000																															both
1970-01-01 00:00:28.050																															both
1970-01-01 00:00:28.100																															both
1970-01-01 00:00:28.150																															both
1970-01-01 00:00:28.200																															both
1970-01-01 00:00:28.250																															both
1970-01-01 00:00:28.300																															both
